epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,144.443,0.34754,7.54579,0.49299,0.00549,0.46667,0.02096,0.01499,0.50402,4.14213,0.60349,0.000581,0.000581,0.000581
45,147.123,0.28203,8.63445,0.38169,0.00588,0.5,0.03093,0.02099,0.51794,4.31802,0.62841,0.000548,0.000548,0.000548
46,150.008,0.47039,7.40069,0.61373,0.00569,0.48333,0.03311,0.02412,0.5147,3.98278,0.64143,0.000515,0.000515,0.000515
47,152.739,0.3968,6.78558,0.57195,0.00549,0.46667,0.03173,0.02338,0.51467,3.75084,0.63774,0.000482,0.000482,0.000482
48,155.86,0.38219,7.17149,0.5655,0.00549,0.46667,0.03606,0.02647,0.46455,3.58767,0.60156,0.000449,0.000449,0.000449
49,158.627,0.32712,6.67554,0.52627,0.00549,0.46667,0.04303,0.03105,0.44448,3.49224,0.5886,0.000416,0.000416,0.000416
50,161.521,0.39158,6.0724,0.63469,0.00549,0.46667,0.05031,0.03673,0.41931,3.42948,0.57527,0.000383,0.000383,0.000383
51,164.971,0.15787,9.05747,0.24714,0.00549,0.46667,0.04343,0.03296,0.4383,3.47606,0.58044,0.00035,0.00035,0.00035
52,167.616,0.1445,8.97011,0.24405,0.04496,0.11667,0.02948,0.02197,0.46553,3.63532,0.6035,0.000317,0.000317,0.000317
53,170.27,0.16049,9.05564,0.21948,0.03529,0.4,0.04333,0.03135,0.45883,3.47674,0.6036,0.000284,0.000284,0.000284
54,173.127,0.12322,8.77082,0.21591,0.00569,0.48333,0.03666,0.02635,0.46124,3.50239,0.60674,0.000251,0.000251,0.000251
55,175.88,0.14688,8.81588,0.2453,0.00569,0.48333,0.04591,0.03516,0.43602,3.41714,0.60283,0.000218,0.000218,0.000218
56,178.677,0.13428,8.73102,0.22905,0.00569,0.48333,0.05537,0.04352,0.42845,3.33444,0.59683,0.000185,0.000185,0.000185
57,181.355,0.17356,8.80082,0.25892,0.00549,0.46667,0.05729,0.04436,0.40248,3.30898,0.60474,0.000152,0.000152,0.000152
58,184.242,0.17024,8.46816,0.26399,0.00569,0.48333,0.06087,0.0451,0.3958,3.28997,0.59752,0.000119,0.000119,0.000119
59,187.109,0.15419,8.46622,0.26344,0.00569,0.48333,0.07066,0.0484,0.4141,3.27867,0.60161,8.6e-05,8.6e-05,8.6e-05
60,189.981,0.14766,8.66025,0.2372,0.00569,0.48333,0.07463,0.05096,0.41502,3.25981,0.58795,5.3e-05,5.3e-05,5.3e-05
